Chegada,Status,Porto,Sentido,Peso,Quantidade
01/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,"66.960,000 Tons.",1
01/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"21.557,000 Tons.",1
02/01/2025 17:30,ATRACADOS,PORTO_DE_PARANAGUA,Imp,"58.671,000 Tons.",1
02/02/2025 01:00,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,"53.250,000 Tons.",1
02/02/2025 05:00,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,"66.450,000 Tons.",1
02/02/2025 10:00,ATRACADOS,PORTO_DE_PARANAGUA,Exp,"63.000,000 Tons.",1
02/02/2025 14:12,ATRACADOS,PORTO_DE_PARANAGUA,Exp,"69.300,000 Tons.",1
02/03/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"63.000,000 Tons.",1
02/03/2025 13:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"90.000,000 Tons.",1
03/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp,"1.050 Movs.; 14.000,000 Tons.",2
03/03/2025 13:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,"6.200,000 Tons.; 10.000,000 Tons.",2
03/03/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,500 Movs.,1
04/02/2025 13:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,"33.742,000 Tons.",1
04/03/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"44.000,000 Tons.",1
04/03/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"1.600,000 Tons.",1
05/02/2025 00:30,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,"67.000,000 Tons.",1
05/02/2025 10:07,AO LARGO,PORTO_DE_PARANAGUA,Exp,"65.000,000 Tons.",1
06/02/2025 09:18,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,"19.000,000 Tons.",1
06/02/2025 15:36,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,"68.086,000 Tons.",1
06/03/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp,"4,000 Tons.; 3,000 Tons.; 5,000 Tons.",3
06/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.050 Movs.,1
07/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,"54.900,000 Tons.",1
07/02/2025 14:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,"66.000,000 Tons.",1
07/03/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,500 Movs.,1
07/03/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"15.005,000 Tons.",1
08/02/2025 08:01,ATRACADOS,PORTO_DE_PARANAGUA,Exp,"65.000,000 Tons.",1
08/02/2025 08:30,AO LARGO,PORTO_DE_PARANAGUA,Imp,"59.934,000 Tons.",1
08/02/2026 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,"0,000 Tons.",1
09/02/2025 07:30,ATRACADOS,PORTO_DE_PARANAGUA,Exp,"66.000,000 Tons.",1
09/02/2025 16:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,"11.000,000 Tons.",1
10/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,"59.000,000 Tons.",1
10/02/2025 03:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,"65.000,000 Tons.",1
10/02/2025 11:36,AO LARGO,PORTO_DE_PARANAGUA,Exp,"66.000,000 Tons.",1
10/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"63.000,000 Tons.",1
10/02/2025 14:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,"64.500,000 Tons.",1
10/02/2025 18:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,"60.400,000 Tons.",1
10/03/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"17.000,000 Tons.",1
10/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp,"34.000,000 Tons.; 1.050 Movs.",2
10/04/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,"35.000,000 Tons.",1
