Mercadoria,Status,Porto,Sentido,Chegada,Peso,Quantidade
ALCOOL ETILICO,ESPERADOS,PORTO_DE_PARANAGUA,Exp,19/02/2025 07:00,"15.780,000 Tons.",1
ALIMET,ESPERADOS,PORTO_DE_PARANAGUA,Imp,21/02/2025 08:00,"2.359,000 Tons.",1
AUTOMÓVEIS DE PASSAGEIROS E OU,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp,26/02/2025 01:00; 24/02/2025 07:00,"1.000 Movs.; 5.000,000 Tons.",2
AÇÚCAR,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,02/02/2025 01:00,"53.250,000 Tons.",1
AÇÚCAR,ESPERADOS,PORTO_DE_PARANAGUA,Exp,25/02/2025 08:00,"57.750,000 Tons.",1
CEVADA CERVEJEIRA,AO LARGO,PORTO_DE_PARANAGUA,Imp,11/02/2025 19:30,"44.000,000 Tons.",1
CEVADA CERVEJEIRA,ESPERADOS,PORTO_DE_PARANAGUA,Imp,04/03/2025 07:00,"44.000,000 Tons.",1
CLORETO DE POTASSIO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,10/03/2025 12:00,"34.000,000 Tons.",1
CLORETOS DE POTASSIO,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,16/02/2025 15:00; 28/01/2025 03:00; 28/01/2025 03:00; 23/01/2025 11:00,"15.900,000 Tons.; 12.550,000 Tons.; 3.700,000 Tons.; 58.606,000 Tons.",4
CLORETOS DE POTASSIO,ATRACADOS,PORTO_DE_PARANAGUA,Imp,31/01/2025 04:24,"27.650,000 Tons.",1
CLORETOS DE POTASSIO,DESPACHADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,09/02/2025 16:00; 27/12/2024 16:00; 27/12/2024 16:00,"11.000,000 Tons.; 17.961,000 Tons.; 15.900,000 Tons.",3
CLORETOS DE POTASSIO,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,27/02/2025 12:00; 24/02/2025 07:00,"52.498,000 Tons.; 52.500,000 Tons.",2
CLORETOS DE POTASSIO,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,,"33.000,000 Tons.",1
CONTÊINERES (CONTENTORES) INCL,AO LARGO,PORTO_DE_PARANAGUA,Imp/Exp,17/02/2025 00:30,600 Movs.,1
CONTÊINERES (CONTENTORES) INCL,ATRACADOS,PORTO_DE_PARANAGUA,Imp/Exp,15/02/2025 09:30,1.050 Movs.,1
CONTÊINERES (CONTENTORES) INCL,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp,15/02/2025 16:06; 16/02/2025 19:00; 15/02/2025 17:30; 14/02/2025 15:45; 14/02/2025 09:30; 14/02/2025 03:36; 14/02/2025 09:42,"597 Movs.; 600 Movs.; 319 Movs.; 1.495 Movs.; 2.008,000 Tons.; 891 Movs.; 940 Movs.",7
CONTÊINERES (CONTENTORES) INCL,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp,20/03/2025 12:00; 16/03/2025 12:00; 13/03/2025 12:00; 11/03/2025 12:00; 10/03/2025 12:00; 07/03/2025 07:00; 06/03/2025 12:00; 03/03/2025 20:00; 03/03/2025 12:00; 28/02/2025 12:00; 28/02/2025 12:00; 27/02/2025 21:00; 27/02/2025 17:00; 27/02/2025 12:00; 27/02/2025 12:00; 27/02/2025 12:00; 27/02/2025 07:00; 26/02/2025 13:00; 26/02/2025 05:00; 25/02/2025 13:00; 25/02/2025 12:00; 25/02/2025 08:00; 24/02/2025 18:00; 23/02/2025 05:00; 21/02/2025 19:00; 21/02/2025 07:00; 21/02/2025 07:00; 21/02/2025 07:00; 20/02/2025 19:00; 20/02/2025 07:00; 19/02/2025 14:00; 19/02/2025 14:00; 19/02/2025 08:00; 19/02/2025 07:00; 19/02/2025 06:00; 19/02/2025 05:00; 19/02/2025 02:00; 18/02/2025 21:00; 18/02/2025 15:00; 18/02/2025 12:00; 18/02/2025 09:00; 17/02/2025 00:00,1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 500 Movs.; 1.050 Movs.; 500 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.300 Movs.; 500 Movs.; 800 Movs.; 1.050 Movs.; 1.050 Movs.; 750 Movs.; 500 Movs.; 315 Movs.; 1.050 Movs.; 1.050 Movs.; 500 Movs.; 1.300 Movs.; 500 Movs.; 500 Movs.; 600 Movs.; 600 Movs.; 600 Movs.; 1.050 Movs.; 500 Movs.; 1.400 Movs.; 1.000 Movs.; 500 Movs.; 600 Movs.; 500 Movs.; 800 Movs.; 1.050 Movs.; 500 Movs.; 1.000 Movs.; 1.050 Movs.; 500 Movs.; 1.000 Movs.,42
CONTÊINERES (CONTENTORES) INCL,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp,16/02/2025 05:42,1.050 Movs.; 650 Movs.,2
DAP - Fosfato Diamonico,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp,15/02/2025 17:10; 27/01/2025 20:12,"6.000,000 Tons.; 14.999,000 Tons.",2
FARELO DE SOJA,AO LARGO,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp,16/02/2025 00:01; 16/02/2025 07:00; 10/02/2025 18:00; 10/02/2025 03:00; 10/02/2025 14:00; 10/02/2025 00:01,"65.205,000 Tons.; 89.000,000 Tons.; 60.400,000 Tons.; 65.000,000 Tons.; 64.500,000 Tons.; 59.000,000 Tons.",6
FARELO DE SOJA,ATRACADOS,PORTO_DE_PARANAGUA,Exp,09/02/2025 07:30,"66.000,000 Tons.",1
FARELO DE SOJA,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,29/01/2025 19:00,"62.244,000 Tons.",1
FARELO DE SOJA,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp; Exp,02/03/2025 13:00; 02/03/2025 07:00; 28/02/2025 09:00; 28/02/2025 00:01; 27/02/2025 09:00; 24/02/2025 07:00; 20/02/2025 10:00,"90.000,000 Tons.; 63.000,000 Tons.; 61.500,000 Tons.; 60.000,000 Tons.; 55.000,000 Tons.; 60.000,000 Tons.; 62.000,000 Tons.",7
FERTILIZ.MINER.QUIM.C/NITROGEN,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp,16/02/2025 00:30; 15/02/2025 17:10; 27/01/2025 20:12,"62.964,000 Tons.; 6.000,000 Tons.; 14.999,000 Tons.",3
FERTILIZ.MINER.QUIM.C/NITROGEN,ATRACADOS,PORTO_DE_PARANAGUA,Imp,14/01/2025 04:54,"24.953,000 Tons.",1
FERTILIZ.MINER.QUIM.C/NITROGEN,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,19/02/2025 08:00; 15/02/2025 08:00,"9.900,000 Tons.; 11.000,000 Tons.",2
FOSFATO MONO OU DISSODICO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,22/02/2025 08:00,"3.300,000 Tons.",1
FOSFATOS DE CALCIO,ATRACADOS,PORTO_DE_PARANAGUA,Imp,15/02/2025 02:06,"33.000,000 Tons.",1
FUEL-OIL (OLEO COMBUSTIVEL),ESPERADOS,PORTO_DE_PARANAGUA,Exp,28/02/2025 07:00,"19.000,000 Tons.",1
FUEL-OIL (OLEO COMBUSTIVEL),PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,06/02/2025 09:18,"19.000,000 Tons.",1
GASOLINAS,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,13/02/2025 22:30,"25.000,000 Tons.",1
GASOLINAS,ESPERADOS,PORTO_DE_PARANAGUA,Imp,19/02/2025 07:00,"24.001,000 Tons.",1
GLP,ESPERADOS,PORTO_DE_PARANAGUA,Imp,19/02/2025 07:00,"3.500,000 Tons.",1
MALTE,ATRACADOS,PORTO_DE_PARANAGUA,Imp,16/02/2025 12:00,"4.265,000 Tons.",1
