Chegada,Status,Porto,Sentido,Peso,Quantidade
01/02/2025 14:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,71000,1
01/03/2025,LASH,PORTO_DE_SANTOS,Exp,1,1
01/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
01/03/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
02/02/2025 18:54:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66000,1
02/03/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp,3600 3600,1
02/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
02/03/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,18666 126,1
02/03/2025 14:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
03/02/2025 05:36:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,71500,1
03/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1,1
03/03/2025 11:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,1800 1800; 1530 15300,2
04/01/2025 15:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp/Exp,70804 77500,1
04/02/2025 07:42:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,70000,1
04/02/2025 10:54:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,70500,1
04/02/2025 15:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,69000,1
04/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
05/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
05/04/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
06/01/2025 09:30:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,6000,1
06/02/2025 00:29:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,58000,1
06/02/2025 15:18:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,30000,1
06/02/2025 22:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,69000,1
06/03/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,9800,1
06/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
06/03/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,3600 3600,1
06/03/2025 20:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
06/04/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
06/04/2025 18:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
