Mercadoria,Status,Porto,Sentido,Chegada,Quantidade
ACUCAR,PRIORIDADE C3,PORTO_DE_SANTOS,Exp; Exp,15/02/2025 19:42:00; 19/02/2025 18:00:00,2
ACUCAR A GRANEL,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp,20/01/2025 07:00:00; 15/02/2025 23:00:00; 16/02/2025 19:42:00; 17/02/2025 07:00:00; 19/02/2025 08:00:00; 20/02/2025 22:00:00; 22/02/2025 07:00:00,7
CARGA GERAL,CABOTAGEM,PORTO_DE_SANTOS,Exp,26/02/2025 07:00:00,1
CARGA GERAL,LASH,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 20/02/2025 06:00:00; 20/02/2025 06:00:00; 25/02/2025 06:00:00; 01/03/2025; 03/03/2025 06:00:00; 09/03/2025 06:00:00; 15/03/2025 06:00:00; 22/03/2025 06:00:00; 23/03/2025 06:00:00,23
CARGA GERAL,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Imp,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 06:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00,12
CONSUMO DE BORDO,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,17/02/2025,1
CONTEINERES CHEIOS,CONTEINERES,PORTO_DE_SANTOS,Exp; Imp; Imp,18/02/2025 10:00:00; 20/02/2025 08:00:00; 21/02/2025 07:00:00,3
CONTEINERES CHEIOS CONTEINERES CHEIOS,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp,11/02/2025 08:25:00; 15/02/2025 18:30:00; 16/02/2025 15:12:00; 16/02/2025 18:10:00; 16/02/2025 18:18:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 07:00:00; 17/02/2025 09:00:00; 17/02/2025 10:00:00; 17/02/2025 10:00:00; 17/02/2025 10:42:00; 17/02/2025 11:00:00; 17/02/2025 12:00:00; 17/02/2025 22:00:00; 18/02/2025; 18/02/2025 08:00:00; 18/02/2025 12:00:00; 18/02/2025 13:00:00; 19/02/2025 02:00:00; 19/02/2025 09:00:00; 19/02/2025 12:00:00; 19/02/2025 13:00:00; 19/02/2025 17:00:00; 20/02/2025 02:00:00; 20/02/2025 07:00:00; 20/02/2025 07:00:00; 20/02/2025 12:00:00; 20/02/2025 15:00:00; 20/02/2025 15:00:00; 21/02/2025 03:00:00; 21/02/2025 08:00:00; 21/02/2025 08:00:00; 21/02/2025 11:29:00; 22/02/2025; 22/02/2025; 22/02/2025 03:00:00; 22/02/2025 10:00:00; 22/02/2025 13:00:00; 23/02/2025; 23/02/2025; 23/02/2025 02:00:00; 23/02/2025 05:00:00; 23/02/2025 11:00:00; 23/02/2025 12:00:00; 23/02/2025 14:00:00; 23/02/2025 14:00:00; 23/02/2025 18:00:00; 24/02/2025; 24/02/2025; 24/02/2025 07:00:00; 24/02/2025 07:00:00; 24/02/2025 12:00:00; 24/02/2025 12:00:00; 25/02/2025; 25/02/2025 04:00:00; 25/02/2025 08:00:00; 26/02/2025; 26/02/2025; 26/02/2025 02:00:00; 26/02/2025 07:00:00; 26/02/2025 12:00:00; 27/02/2025 01:00:00; 27/02/2025 01:01:00; 27/02/2025 07:00:00; 27/02/2025 13:00:00; 27/02/2025 20:00:00; 28/02/2025 03:00:00; 28/02/2025 08:00:00; 28/02/2025 08:01:00; 01/03/2025 01:00:00; 01/03/2025 03:00:00; 02/03/2025 01:00:00; 02/03/2025 07:00:00; 02/03/2025 14:00:00; 03/03/2025 11:00:00; 03/03/2025 11:00:00; 04/03/2025 08:00:00; 05/03/2025 02:00:00; 06/03/2025 02:00:00; 06/03/2025 07:00:00; 06/03/2025 20:00:00; 07/03/2025 08:00:00; 07/03/2025 08:00:00; 08/03/2025 03:00:00; 08/03/2025 06:30:00; 08/03/2025 08:00:00; 09/03/2025 01:00:00; 09/03/2025 02:00:00; 09/03/2025 14:00:00; 10/03/2025 07:00:00; 11/03/2025 08:00:00; 12/03/2025 02:00:00; 14/03/2025 08:00:00; 14/03/2025 08:00:00; 14/03/2025 16:00:00; 15/03/2025 03:00:00; 15/03/2025 08:00:00; 16/03/2025 02:00:00; 16/03/2025 18:00:00; 17/03/2025 13:00:00; 17/03/2025 13:00:00; 17/03/2025 17:00:00; 18/03/2025 08:00:00; 19/03/2025 02:00:00; 20/03/2025 02:00:00; 20/03/2025 20:00:00; 21/03/2025 08:00:00; 21/03/2025 08:00:00; 21/03/2025 16:00:00; 22/03/2025 02:00:00; 22/03/2025 03:00:00; 22/03/2025 13:00:00; 22/03/2025 19:00:00; 23/03/2025 01:00:00; 23/03/2025 02:00:00; 23/03/2025 14:00:00; 25/03/2025 08:00:00; 27/03/2025 02:00:00; 27/03/2025 20:00:00; 28/03/2025 08:00:00; 28/03/2025 16:00:00; 29/03/2025 02:00:00; 29/03/2025 08:00:00; 30/03/2025 02:00:00; 30/03/2025 18:00:00; 31/03/2025 11:00:00; 05/04/2025 02:00:00; 06/04/2025 02:00:00; 06/04/2025 18:00:00,152
CONTEINERES CHEIOS CONTEINERES CHEIOS,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp; Imp/Exp,19/02/2025; 19/02/2025; 02/03/2025,3
ENXOFRE A GRANEL,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp; Imp; Imp,21/01/2025 16:12:00; 07/02/2025 16:10:00; 08/03/2025 07:00:00,3
