Sentido,Status,Porto,Chegada,Peso,Quantidade
Exp,CABOTAGEM,PORTO_DE_SANTOS,17/02/2025; 17/02/2025; 26/02/2025 07:00:00,57000; 41000; 386,3
Exp,CONTEINERES,PORTO_DE_SANTOS,18/02/2025 10:00:00; 23/02/2025 11:00:00; 09/03/2025 01:00:00; 14/03/2025 08:00:00; 21/03/2025 08:00:00; 23/03/2025 01:00:00,9720; 12834; 1800; 3600; 3600; 15300,6
Exp,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,24/01/2025 22:48:00; 01/02/2025 14:00:00; 02/02/2025 18:54:00; 03/02/2025 05:36:00; 04/02/2025 07:42:00; 04/02/2025 10:54:00; 04/02/2025 15:30:00; 06/02/2025 22:30:00; 08/02/2025 08:30:00; 09/02/2025 00:01:00; 10/02/2025 11:45:00; 10/02/2025 13:30:00; 11/02/2025 11:30:00; 11/02/2025 21:00:00; 12/02/2025 08:30:00; 12/02/2025 10:00:00; 12/02/2025 11:20:00; 12/02/2025 14:00:00; 12/02/2025 16:18:00; 13/02/2025 04:36:00; 13/02/2025 11:42:00; 14/02/2025 11:30:00; 14/02/2025 14:20:00; 14/02/2025 18:30:00; 14/02/2025 23:30:00; 15/02/2025 08:00:00; 15/02/2025 22:18:00; 16/02/2025 00:24:00; 16/02/2025 14:15:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 00:24:00; 17/02/2025 11:15:00; 17/02/2025 14:00:00; 17/02/2025 15:00:00; 18/02/2025 10:00:00; 18/02/2025 10:00:00; 19/02/2025 08:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00; 21/02/2025 08:00:00; 22/02/2025 18:00:00; 23/02/2025 08:00:00; 26/02/2025 08:00:00,63000; 71000; 66000; 71500; 70000; 70500; 69000; 69000; 65000; 66200; 68200; 65399; 70000; 71500; 71500; 70000; 63000; 64000; 68591; 63000; 66300; 60000; 66000; 66000; 69300; 62444; 66000; 65000; 69300; 67187; 66200; 69000; 60000; 65000; 64000; 50000; 66000; 60000; 66000; 63000; 67300; 65000; 67310; 67400; 66000; 69400; 62060,47
Exp,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,20/01/2025 07:00:00; 15/02/2025 23:00:00; 17/02/2025 07:00:00; 19/02/2025 08:00:00; 20/02/2025 22:00:00; 22/02/2025 07:00:00; 22/02/2025 19:00:00,49000; 48005; 20000; 60000; 22139; 38500; 63000,7
Exp,LASH,PORTO_DE_SANTOS,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 20/02/2025 06:00:00; 20/02/2025 06:00:00; 25/02/2025 06:00:00; 01/03/2025; 03/03/2025 06:00:00; 09/03/2025 06:00:00; 15/03/2025 06:00:00; 22/03/2025 06:00:00; 23/03/2025 06:00:00,1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1,23
Exp,LIQUIDO A GRANEL,PORTO_DE_SANTOS,29/01/2025 14:15:00; 06/02/2025 15:18:00; 15/02/2025 15:30:00; 16/02/2025 03:00:00; 16/02/2025 09:00:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 04:00:00; 19/02/2025 07:00:00; 19/02/2025 11:48:00; 20/02/2025; 20/02/2025 06:00:00,25000; 30000; 35000; 11000; 60000; 35000; 30000; 62000; 30000; 30000; 25000; 16000; 16400; 25000; 25000; 25000; 32000; 10149; 50000; 22779; 3559,21
Exp,PRIORIDADE C3,PORTO_DE_SANTOS,15/02/2025 19:42:00; 19/02/2025 18:00:00,55000; 52,2
Exp,PRIORIDADE C5,PORTO_DE_SANTOS,17/01/2025 05:48:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025,1; 1; 29000; 1000; 1; 31645,6
Exp,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,17/02/2025 02:24:00; 18/02/2025 01:00:00; 23/02/2025; 24/02/2025; 06/03/2025; 12/03/2025; 12/03/2025,6238; 7; 9800; 9800; 9800; 9800; 9800,7
Exp,SEM PRIORIDADE,PORTO_DE_SANTOS,06/02/2025 00:29:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 06:00:00; 18/02/2025 06:00:00; 20/02/2025 06:00:00; 22/02/2025 08:00:00; 23/02/2025 07:00:00; 27/02/2025 07:00:00,58000; 1; 1; 1; 1; 3; 40000; 1; 1; 1; 1; 1; 13990; 1; 14600; 1; 27609; 21600; 58000,19
Imp,CONTEINERES,PORTO_DE_SANTOS,20/02/2025 08:00:00; 21/02/2025 07:00:00,2700; 2772,2
Imp,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,11/01/2025 15:16:00; 19/01/2025 19:00:00; 21/01/2025 16:12:00; 07/02/2025 16:10:00; 16/02/2025 12:50:00; 17/02/2025; 17/02/2025 15:00:00; 18/02/2025; 18/02/2025 05:00:00; 18/02/2025 10:00:00; 19/02/2025 22:00:00; 20/02/2025 07:00:00; 20/02/2025 10:00:00; 21/02/2025 10:00:00; 21/02/2025 13:00:00; 22/02/2025; 22/02/2025 05:00:00; 08/03/2025 07:00:00,17499; 35727; 35002; 43050; 16000; 23451; 17729; 7500; 51900; 6500; 15000; 40732; 10720; 9000; 18140; 18784; 13793; 34900,18
Imp,LIQUIDO A GRANEL,PORTO_DE_SANTOS,06/01/2025 09:30:00; 08/02/2025 13:42:00; 14/02/2025 02:30:00; 17/02/2025 16:00:00; 18/02/2025; 18/02/2025 05:00:00; 18/02/2025 13:00:00; 19/02/2025 05:00:00; 22/02/2025 06:00:00; 27/02/2025 16:18:00,6000; 4000; 8656; 6000; 2199; 8526; 9400; 8715; 6320; 15000,10
Imp,SEM PRIORIDADE,PORTO_DE_SANTOS,20/02/2025 07:00:00; 23/02/2025 18:00:00,5755; 1899,2
