Chegada,Status,Porto,Sentido,Quantidade
01/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
01/02/2025 10:42:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
01/02/2025 14:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
01/03/2025,LASH,PORTO_DE_SANTOS,Exp,1
01/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
01/03/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
01/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
02/01/2025 17:30,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
02/02/2025 01:00,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,1
02/02/2025 05:00,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,1
02/02/2025 10:00,ATRACADOS,PORTO_DE_PARANAGUA,Exp,1
02/02/2025 14:12,ATRACADOS,PORTO_DE_PARANAGUA,Exp,1
02/02/2025 18:54:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
02/03/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp,1
02/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
02/03/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
02/03/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
02/03/2025 13:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
02/03/2025 14:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
03/02/2025 05:36:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
03/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1
03/03/2025 11:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
03/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp,2
03/03/2025 13:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,2
03/03/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
04/01/2025 15:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp/Exp,1
04/02/2025 07:42:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
04/02/2025 10:54:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
04/02/2025 13:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,1
04/02/2025 15:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
04/03/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
04/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
04/03/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
05/02/2025 00:30,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,1
05/02/2025 10:07,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
05/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
05/04/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
06/01/2025 09:30:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
06/02/2025 00:29:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,1
06/02/2025 09:18,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,1
06/02/2025 15:18:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,1
06/02/2025 15:36,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,1
06/02/2025 22:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
06/02/2025 22:45:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
06/03/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,1
06/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
06/03/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
06/03/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp,3
06/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
06/03/2025 20:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
06/04/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
06/04/2025 18:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
07/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
07/02/2025 14:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
07/02/2025 16:10:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
07/03/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
07/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
07/03/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
08/02/2025 08:01,ATRACADOS,PORTO_DE_PARANAGUA,Exp,1
08/02/2025 08:30,AO LARGO,PORTO_DE_PARANAGUA,Imp,1
08/02/2025 08:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
08/02/2025 13:42:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
08/02/2025 19:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
08/02/2026 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
08/03/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
08/03/2025 06:30:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
08/03/2025 07:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
08/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
09/02/2025 00:01:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp,2
09/02/2025 07:30,ATRACADOS,PORTO_DE_PARANAGUA,Exp,1
09/02/2025 16:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,1
09/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,1
09/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
09/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1
09/03/2025 14:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
10/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 03:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 11:36,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 11:45:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
10/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 13:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
10/02/2025 14:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 18:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/03/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
10/03/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
10/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp,2
10/04/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
11/01/2025 15:16:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
11/01/2025 22:12,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
11/02/2025 02:48,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,1
11/02/2025 04:18,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
11/02/2025 08:25:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
11/02/2025 11:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
