Mercadoria,Status,Porto,Sentido,Chegada,Quantidade
ACUCAR,PRIORIDADE C3,PORTO_DE_SANTOS,Exp; Exp,15/02/2025 19:42:00; 19/02/2025 18:00:00,2
ACUCAR A GRANEL,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp,20/01/2025 07:00:00; 15/02/2025 23:00:00; 16/02/2025 19:42:00; 17/02/2025 07:00:00; 19/02/2025 08:00:00; 20/02/2025 22:00:00; 22/02/2025 07:00:00,7
ALCOOL ETILICO,ESPERADOS,PORTO_DE_PARANAGUA,Exp,19/02/2025 07:00,1
ALIMET,ESPERADOS,PORTO_DE_PARANAGUA,Imp,21/02/2025 08:00,1
AUTOMÓVEIS DE PASSAGEIROS E OU,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp,26/02/2025 01:00; 24/02/2025 07:00,2
AÇÚCAR,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,02/02/2025 01:00,1
AÇÚCAR,ESPERADOS,PORTO_DE_PARANAGUA,Exp,25/02/2025 08:00,1
CARGA GERAL,CABOTAGEM,PORTO_DE_SANTOS,Exp,26/02/2025 07:00:00,1
CARGA GERAL,LASH,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 20/02/2025 06:00:00; 20/02/2025 06:00:00; 25/02/2025 06:00:00; 01/03/2025; 03/03/2025 06:00:00; 09/03/2025 06:00:00; 15/03/2025 06:00:00; 22/03/2025 06:00:00; 23/03/2025 06:00:00,23
CARGA GERAL,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Imp,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 06:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00,12
CEVADA CERVEJEIRA,AO LARGO,PORTO_DE_PARANAGUA,Imp,11/02/2025 19:30,1
CEVADA CERVEJEIRA,ESPERADOS,PORTO_DE_PARANAGUA,Imp,04/03/2025 07:00,1
CLORETO DE POTASSIO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,10/03/2025 12:00,1
CLORETOS DE POTASSIO,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,16/02/2025 15:00; 28/01/2025 03:00; 28/01/2025 03:00; 23/01/2025 11:00,4
CLORETOS DE POTASSIO,ATRACADOS,PORTO_DE_PARANAGUA,Imp,31/01/2025 04:24,1
CLORETOS DE POTASSIO,DESPACHADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,09/02/2025 16:00; 27/12/2024 16:00; 27/12/2024 16:00,3
CLORETOS DE POTASSIO,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,27/02/2025 12:00; 24/02/2025 07:00,2
CLORETOS DE POTASSIO,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,,1
CONSUMO DE BORDO,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,17/02/2025,1
CONTEINERES CHEIOS,CONTEINERES,PORTO_DE_SANTOS,Exp; Imp; Imp,18/02/2025 10:00:00; 20/02/2025 08:00:00; 21/02/2025 07:00:00,3
