Sentido,Status,Porto,Chegada,Peso,Quantidade
Exp,AO LARGO,PORTO_DE_PARANAGUA,17/02/2025 00:01; 17/02/2025 00:01; 16/02/2025 00:01; 16/02/2025 07:00; 15/02/2025 07:00; 15/02/2025 01:48; 15/02/2025 20:00; 12/02/2025 16:00; 12/02/2025 03:30; 10/02/2025 18:00; 31/12/2024 01:24; 10/02/2025 03:00; 11/02/2025 14:30; 11/02/2025 04:18; 10/02/2025 11:36; 07/02/2025 14:00; 10/02/2025 14:00; 10/02/2025 00:01; 07/02/2025 00:01; 05/02/2025 10:07; 01/02/2025 00:01; 31/01/2025 10:18; 28/01/2025 23:42; 19/12/2024 12:30,"64.914,000 Tons.; 66.000,000 Tons.; 65.205,000 Tons.; 89.000,000 Tons.; 70.012,000 Tons.; 66.200,000 Tons.; 69.500,000 Tons.; 58.250,000 Tons.; 65.000,000 Tons.; 60.400,000 Tons.; 72.370,000 Tons.; 65.000,000 Tons.; 69.800,000 Tons.; 65.258,000 Tons.; 66.000,000 Tons.; 66.000,000 Tons.; 64.500,000 Tons.; 59.000,000 Tons.; 54.900,000 Tons.; 65.000,000 Tons.; 66.960,000 Tons.; 63.000,000 Tons.; 62.500,000 Tons.; 69.150,000 Tons.",24
Exp,ATRACADOS,PORTO_DE_PARANAGUA,16/02/2025 22:18; 09/02/2025 07:30; 08/02/2025 08:01; 02/02/2025 14:12; 02/02/2025 10:00,"10.400,000 Tons.; 66.000,000 Tons.; 65.000,000 Tons.; 69.300,000 Tons.; 63.000,000 Tons.",5
Exp,CABOTAGEM,PORTO_DE_SANTOS,17/02/2025; 17/02/2025; 26/02/2025 07:00:00,57000; 41000; 386,3
Exp,CONTEINERES,PORTO_DE_SANTOS,18/02/2025 10:00:00; 23/02/2025 11:00:00; 09/03/2025 01:00:00; 14/03/2025 08:00:00; 21/03/2025 08:00:00; 23/03/2025 01:00:00,9720; 12834; 1800; 3600; 3600; 15300,6
Exp,DESPACHADOS,PORTO_DE_PARANAGUA,16/02/2025 08:00; 16/02/2025 04:24; 12/02/2025 17:15; 02/02/2025 01:00; 02/02/2025 05:00; 29/01/2025 19:00; 22/01/2025 11:24,"8.000,000 Tons.; 824,000 Tons.; 67.940,000 Tons.; 53.250,000 Tons.; 66.450,000 Tons.; 62.244,000 Tons.; 69.620,000 Tons.",7
Exp,ESPERADOS,PORTO_DE_PARANAGUA,20/02/2026 06:00; 06/03/2025 08:00; 06/03/2025 08:00; 06/03/2025 08:00; 02/03/2025 13:00; 02/03/2025 07:00; 28/02/2025 09:00; 28/02/2025 09:00; 28/02/2025 07:00; 28/02/2025 00:01; 27/02/2025 20:00; 27/02/2025 15:00; 27/02/2025 09:00; 27/02/2025 08:00; 26/02/2025 21:00; 25/02/2025 20:00; 25/02/2025 20:00; 25/02/2025 08:00; 25/02/2025 02:00; 24/02/2025 08:00; 24/02/2025 08:00; 24/02/2025 07:00; 24/02/2025 07:00; 23/02/2025 08:00; 23/02/2025 01:00; 22/02/2025 20:00; 22/02/2025 19:00; 22/02/2025 08:00; 21/02/2025 10:00; 21/02/2025 08:00; 20/02/2025 20:00; 20/02/2025 20:00; 20/02/2025 20:00; 20/02/2025 10:00; 19/02/2025 07:00; 18/02/2025 19:00; 17/02/2025 12:00; 10/02/2025 12:00,"0,000 Tons.; 4,000 Tons.; 3,000 Tons.; 5,000 Tons.; 90.000,000 Tons.; 63.000,000 Tons.; 63.500,000 Tons.; 61.500,000 Tons.; 19.000,000 Tons.; 60.000,000 Tons.; 68.950,000 Tons.; 69.000,000 Tons.; 55.000,000 Tons.; 63.000,000 Tons.; 7.000,000 Tons.; 10.000,000 Tons.; 60.000,000 Tons.; 57.750,000 Tons.; 65.000,000 Tons.; 10.000,000 Tons.; 1.500,000 Tons.; 25.076,000 Tons.; 60.000,000 Tons.; 8.000,000 Tons.; 60.000,000 Tons.; 69.300,000 Tons.; 12.000,000 Tons.; 69.550,000 Tons.; 63.000,000 Tons.; 8.927,000 Tons.; 63.000,000 Tons.; 68.000,000 Tons.; 15.000,000 Tons.; 62.000,000 Tons.; 15.780,000 Tons.; 66.000,000 Tons.; 66.000,000 Tons.; 63.000,000 Tons.",38
Exp,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,24/01/2025 22:48:00; 01/02/2025 14:00:00; 02/02/2025 18:54:00; 03/02/2025 05:36:00; 04/02/2025 07:42:00; 04/02/2025 10:54:00; 04/02/2025 15:30:00; 06/02/2025 22:30:00; 08/02/2025 08:30:00; 09/02/2025 00:01:00; 10/02/2025 11:45:00; 10/02/2025 13:30:00; 11/02/2025 11:30:00; 11/02/2025 21:00:00; 12/02/2025 08:30:00; 12/02/2025 10:00:00; 12/02/2025 11:20:00; 12/02/2025 14:00:00; 12/02/2025 16:18:00; 13/02/2025 04:36:00; 13/02/2025 11:42:00; 14/02/2025 11:30:00; 14/02/2025 14:20:00; 14/02/2025 18:30:00; 14/02/2025 23:30:00; 15/02/2025 08:00:00; 15/02/2025 22:18:00; 16/02/2025 00:24:00; 16/02/2025 14:15:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 00:24:00; 17/02/2025 11:15:00; 17/02/2025 14:00:00; 17/02/2025 15:00:00; 18/02/2025 10:00:00; 18/02/2025 10:00:00; 19/02/2025 08:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00; 21/02/2025 08:00:00; 22/02/2025 18:00:00; 23/02/2025 08:00:00; 26/02/2025 08:00:00,63000; 71000; 66000; 71500; 70000; 70500; 69000; 69000; 65000; 66200; 68200; 65399; 70000; 71500; 71500; 70000; 63000; 64000; 68591; 63000; 66300; 60000; 66000; 66000; 69300; 62444; 66000; 65000; 69300; 67187; 66200; 69000; 60000; 65000; 64000; 50000; 66000; 60000; 66000; 63000; 67300; 65000; 67310; 67400; 66000; 69400; 62060,47
Exp,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,20/01/2025 07:00:00; 15/02/2025 23:00:00; 17/02/2025 07:00:00; 19/02/2025 08:00:00; 20/02/2025 22:00:00; 22/02/2025 07:00:00; 22/02/2025 19:00:00,49000; 48005; 20000; 60000; 22139; 38500; 63000,7
Exp,LASH,PORTO_DE_SANTOS,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 20/02/2025 06:00:00; 20/02/2025 06:00:00; 25/02/2025 06:00:00; 01/03/2025; 03/03/2025 06:00:00; 09/03/2025 06:00:00; 15/03/2025 06:00:00; 22/03/2025 06:00:00; 23/03/2025 06:00:00,1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1,23
Exp,LIQUIDO A GRANEL,PORTO_DE_SANTOS,29/01/2025 14:15:00; 06/02/2025 15:18:00; 15/02/2025 15:30:00; 16/02/2025 03:00:00; 16/02/2025 09:00:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 04:00:00; 19/02/2025 07:00:00; 19/02/2025 11:48:00; 20/02/2025; 20/02/2025 06:00:00,25000; 30000; 35000; 11000; 60000; 35000; 30000; 62000; 30000; 30000; 25000; 16000; 16400; 25000; 25000; 25000; 32000; 10149; 50000; 22779; 3559,21
