Mercadoria,Sentido,Chegada,Status,Quantidade,Porto
OLEO DIESEL,Imp,16/01/2025 14:42,AO LARGO PARA REATRACAÇÃO,0,PORTO_DE_PARANAGUA
SOJA,Exp,17/02/2025 00:01,AO LARGO,0,PORTO_DE_PARANAGUA
MAP,Imp,17/02/2025 00:10,AO LARGO,0,PORTO_DE_PARANAGUA
MAP,Imp,17/02/2025 00:10,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,17/02/2025 00:01,AO LARGO,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,16/02/2025 15:00,AO LARGO,0,PORTO_DE_PARANAGUA
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,16/02/2025 00:30,AO LARGO,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,16/02/2025 00:01,AO LARGO,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,16/02/2025 07:00,AO LARGO,0,PORTO_DE_PARANAGUA
DAP - Fosfato Diamonico,Imp,15/02/2025 17:10,AO LARGO,0,PORTO_DE_PARANAGUA
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,15/02/2025 17:10,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,15/02/2025 07:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,15/02/2025 01:48,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,15/02/2025 20:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,12/02/2025 16:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,12/02/2025 03:30,AO LARGO,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,10/02/2025 18:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,31/12/2024 01:24,AO LARGO,0,PORTO_DE_PARANAGUA
CEVADA CERVEJEIRA,Imp,11/02/2025 19:30,AO LARGO,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,10/02/2025 03:00,AO LARGO,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,08/02/2025 08:30,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,11/02/2025 14:30,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,11/02/2025 04:18,AO LARGO,0,PORTO_DE_PARANAGUA
MILHO,Exp,07/02/2025 14:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,10/02/2025 11:36,AO LARGO,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,10/02/2025 14:00,AO LARGO,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,10/02/2025 00:01,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,07/02/2025 00:01,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,05/02/2025 10:07,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,01/02/2025 00:01,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,31/01/2025 10:18,AO LARGO,0,PORTO_DE_PARANAGUA
MAP,Imp,28/01/2025 03:00,AO LARGO,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,28/01/2025 03:00,AO LARGO,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,28/01/2025 03:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,28/01/2025 23:42,AO LARGO,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,28/01/2025 11:30,AO LARGO,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,28/01/2025 11:30,AO LARGO,0,PORTO_DE_PARANAGUA
DAP - Fosfato Diamonico,Imp,27/01/2025 20:12,AO LARGO,0,PORTO_DE_PARANAGUA
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,27/01/2025 20:12,AO LARGO,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,23/01/2025 11:00,AO LARGO,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,23/01/2025 13:48,AO LARGO,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,14/01/2025 16:00,AO LARGO,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,14/01/2025 16:00,AO LARGO,0,PORTO_DE_PARANAGUA
SOJA,Exp,19/12/2024 12:30,AO LARGO,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,,ATRACADOS,0,PORTO_DE_PARANAGUA
MALTE,Imp,16/02/2025 12:00,ATRACADOS,0,PORTO_DE_PARANAGUA
VEICULOS,Imp/Exp,15/02/2025 16:00,ATRACADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,15/02/2025 09:30,ATRACADOS,0,PORTO_DE_PARANAGUA
OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,15/02/2025 06:00,ATRACADOS,0,PORTO_DE_PARANAGUA
FOSFATOS DE CALCIO,Imp,15/02/2025 02:06,ATRACADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,12/02/2025 17:15,ATRACADOS,0,PORTO_DE_PARANAGUA
OLEO DE SOJA,Exp,16/02/2025 22:18,ATRACADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,09/02/2025 07:30,ATRACADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,08/02/2025 08:01,ATRACADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,02/02/2025 14:12,ATRACADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,02/02/2025 10:00,ATRACADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,31/01/2025 04:24,ATRACADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,19/01/2025 06:00,ATRACADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,18/01/2025 09:00,ATRACADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,18/01/2025 09:00,ATRACADOS,0,PORTO_DE_PARANAGUA
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,14/01/2025 04:54,ATRACADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,11/01/2025 22:12,ATRACADOS,0,PORTO_DE_PARANAGUA
